"","tk","pl","dia","hs","tc","cta","id_art","id_subsubfam","id_subfam","id_fam","id_famn","id_seccion","id_subagr","id_agr","vta","uni","id_artn","art_sp","fam_sp","fam_en"
"1289","120071114004087489",1,"2007/11/14",0.737951397895813,720501,72050,"21818","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.479999989271164,1,21818,"MACARRONES       500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1292","120070727003086806",1,"2007/07/27",0.43954861164093,711621,71162,"22121","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22121,"SPAGUETTI 2      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1293","120070918003002307",1,"2007/09/18",0.396678239107132,87242821,8724282,"21815","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.680000007152557,1,21815,"SPAGHETTINI      500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1295","120070528002021793",1,"2007/05/28",0.585208356380463,2415351,241535,"28921","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.689999997615814,1,28921,"SPAGHETTI        500 G Brand_3","PASTA ALIMENTICIA SE","pasta"
"1296","120070712003082989",1,"2007/07/12",0.823078691959381,18199591,1819959,"562863","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.949999988079071,1,562863,"PENNE RIGATE     500 G Brand_1","PASTA ALIMENTICIA SE","pasta"
"1297","120071023003014094",1,"2007/10/23",0.833564817905426,122290691,12229069,"22119","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22119,"FIDEOS 4         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1298","120071109003019183",1,"2007/11/09",0.455208331346512,8275021,827502,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.790000021457672,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1299","120071015002051000",1,"2007/10/15",0.521076381206512,2415351,241535,"22125","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22125,"PLUMAS 6         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1300","120071013002050848",1,"2007/10/13",0.544143497943878,93265591,9326559,"159867","0101070640100","01010706401","010107064",10107064,"010107","0101","01",1.35000002384186,1,159867,"MACARRONES  GRATINAR 5 Brand_2","PASTA ALIMENTICIA SE","pasta"
"1301","120070903003097582",1,"2007/09/03",0.520046293735504,87242821,8724282,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1302","120071027002053304",1,"2007/10/27",0.839189827442169,4092462,409246,"22123","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22123,"TALLARIN         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1304","120070728003087312",1,"2007/07/28",0.563206017017365,95931501,9593150,"28914","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.689999997615814,1,28914,"FIDEO FIDEUÁ      500 Brand_7","PASTA ALIMENTICIA SE","pasta"
"1305","120071013002050848",1,"2007/10/13",0.544143497943878,93265591,9326559,"159871","0101070640100","01010706401","010107064",10107064,"010107","0101","01",1.35000002384186,1,159871,"SPAGUETI  PLATOS 500 G Brand_2","PASTA ALIMENTICIA SE","pasta"
"1306","120070830003096445",1,"2007/08/30",0.486145824193954,711621,71162,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1307","120070602003070328",1,"2007/06/02",0.644837975502014,4092462,409246,"22121","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22121,"SPAGUETTI 2      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1308","120071031003016633",1,"2007/10/31",0.431585639715195,8275021,827502,"21818","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.479999989271164,1,21818,"MACARRONES       500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1309","120071006004078167",1,"2007/10/06",0.493159741163254,87242821,8724282,"22132","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22132,"TIBURON 0        500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1310","120070804003089774",1,"2007/08/04",0.521481513977051,720501,72050,"21814","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.379999995231628,1,21814,"SPAGHETTI        500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1311","120070718002033384",1,"2007/07/18",0.48510417342186,714481,71448,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1312","120070903003097582",1,"2007/09/03",0.520046293735504,87242821,8724282,"22117","0101070640100","01010706401","010107064",10107064,"010107","0101","01",1.60000002384186,2,22117,"FIDEOS 2         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1313","120071002002048182",1,"2007/10/02",0.473495364189148,711621,71162,"22119","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22119,"FIDEOS 4         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1314","120071004002048612",1,"2007/10/04",0.415462970733643,712221,71222,"22135","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22135,"MARISCOS         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1315","120071113002056500",1,"2007/11/13",0.524583339691162,86090721,8609072,"21818","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.479999989271164,1,21818,"MACARRONES       500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1316","120070628004059745",1,"2007/06/28",0.522361099720001,87242821,8724282,"22119","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22119,"FIDEOS 4         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1317","120070706003080821",1,"2007/07/06",0.55079859495163,110000761,11000076,"159867","0101070640100","01010706401","010107064",10107064,"010107","0101","01",1.25,1,159867,"MACARRONES  GRATINAR 5 Brand_2","PASTA ALIMENTICIA SE","pasta"
"1322","120070915004074281",1,"2007/09/15",0.493969917297363,20883211,2088321,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1323","120071004002048612",1,"2007/10/04",0.415462970733643,712221,71222,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1325","120071018003012228",1,"2007/10/18",0.500544011592865,95785231,9578523,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1326","120071107002055355",1,"2007/11/07",0.748807847499847,5898511,589851,"21818","0101070640100","01010706401","010107064",10107064,"010107","0101","01",2.88000011444092,6,21818,"MACARRONES       500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1327","120071027003015403",1,"2007/10/27",0.527384281158447,87242821,8724282,"22131","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22131,"PISTON MEDIO     500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1328","120071002003006973",1,"2007/10/02",0.419780105352402,8275021,827502,"22127","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22127,"ESTRELLAS        500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1330","120071031003016796",1,"2007/10/31",0.637002348899841,14130571,1413057,"22129","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22129,"PIÑONES          500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1331","120070926003005212",1,"2007/09/26",0.568020820617676,86090721,8609072,"22125","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22125,"PLUMAS 6         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1332","120071006004078167",1,"2007/10/06",0.493159741163254,87242821,8724282,"22135","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22135,"MARISCOS         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1333","120071003003007470",1,"2007/10/03",0.539409756660461,110000761,11000076,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1334","120071031003016719",1,"2007/10/31",0.543819427490234,110000761,11000076,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.790000021457672,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1335","120070824002038367",1,"2007/08/24",0.52322918176651,110000761,11000076,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.689999997615814,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1336","120071027003015403",1,"2007/10/27",0.527384281158447,87242821,8724282,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.790000021457672,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1337","120070627004059481",1,"2007/06/27",0.411354184150696,8275021,827502,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1338","120071009002049932",1,"2007/10/09",0.834363460540771,4092461,409246,"22132","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22132,"TIBURON 0        500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1339","120070803003089367",1,"2007/08/03",0.528148174285889,110000761,11000076,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1340","120070807004067364",1,"2007/08/07",0.820891201496124,714481,71448,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1341","120071015003011247",1,"2007/10/15",0.829259276390076,87242821,8724282,"22135","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22135,"MARISCOS         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1342","120070702003079358",1,"2007/07/02",0.504085659980774,87242821,8724282,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1343","120070830003096482",1,"2007/08/30",0.543275475502014,28491841,2849184,"22131","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22131,"PISTON MEDIO     500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1344","120070907004072756",1,"2007/09/07",0.54269677400589,110000761,11000076,"21816","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.479999989271164,1,21816,"FIDEO CABELLIN   500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1345","120070918003002307",1,"2007/09/18",0.396678239107132,87242821,8724282,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.689999997615814,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1346","120070606002024059",1,"2007/06/06",0.83811342716217,17381583,1738158,"22127","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22127,"ESTRELLAS        500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1347","120071013004079584",1,"2007/10/13",0.554594933986664,28491841,2849184,"22117","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22117,"FIDEOS 2         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1348","120070913002043490",1,"2007/09/13",0.782280087471008,110001591,11000159,"22115","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.689999997615814,1,22115,"FIDEOS 0         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1349","120070712003083069",1,"2007/07/12",0.879016220569611,5891551,589155,"22132","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22132,"TIBURON 0        500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1350","120070831002040220",1,"2007/08/31",0.400601863861084,19666762,1966676,"22120","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22120,"FIDEOS PERLA     500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1353","120070611002025035",1,"2007/06/11",0.796192109584808,87242821,8724282,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1354","120070929003006347",1,"2007/09/29",0.598854184150696,714481,71448,"22125","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22125,"PLUMAS 6         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1355","120070802003089118",1,"2007/08/02",0.771539330482483,86090721,8609072,"22121","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22121,"SPAGUETTI 2      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1356","120071113002056500",1,"2007/11/13",0.524583339691162,86090721,8609072,"22121","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.860000014305115,1,22121,"SPAGUETTI 2      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1357","120070614002025877",1,"2007/06/14",0.877025485038757,4092462,409246,"22122","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22122,"SPAGUETTI 3      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1358","120070705003080481",1,"2007/07/05",0.550196766853333,86090721,8609072,"22122","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22122,"SPAGUETTI 3      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1359","120070905003098137",1,"2007/09/05",0.406782418489456,8275021,827502,"22123","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22123,"TALLARIN         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1360","120070709002031360",1,"2007/07/09",0.493750005960464,714481,71448,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1367","120070926003005212",1,"2007/09/26",0.568020820617676,86090721,8609072,"22122","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22122,"SPAGUETTI 3      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
